Vardas                   Pavarde                  Galutinis
VardasNR3327             PavardeNR3327            1.44  
VardasNR4441             PavardeNR4441            1.52  
VardasNR24978            PavardeNR24978           1.60  
VardasNR94699            PavardeNR94699           1.64  
VardasNR96537            PavardeNR96537           1.64  
VardasNR56061            PavardeNR56061           1.68  
VardasNR81671            PavardeNR81671           1.68  
VardasNR9259             PavardeNR9259            1.72  
VardasNR52273            PavardeNR52273           1.72  
VardasNR63571            PavardeNR63571           1.72  
VardasNR63787            PavardeNR63787           1.72  
VardasNR84527            PavardeNR84527           1.72  
VardasNR34258            PavardeNR34258           1.76  
VardasNR40462            PavardeNR40462           1.76  
VardasNR82535            PavardeNR82535           1.76  
VardasNR3365             PavardeNR3365            1.80  
VardasNR7336             PavardeNR7336            1.80  
VardasNR34011            PavardeNR34011           1.80  
VardasNR71879            PavardeNR71879           1.80  
VardasNR75466            PavardeNR75466           1.80  
VardasNR8717             PavardeNR8717            1.84  
VardasNR9059             PavardeNR9059            1.84  
VardasNR13646            PavardeNR13646           1.84  
VardasNR22601            PavardeNR22601           1.84  
VardasNR28248            PavardeNR28248           1.84  
VardasNR52948            PavardeNR52948           1.84  
VardasNR58753            PavardeNR58753           1.84  
VardasNR58880            PavardeNR58880           1.84  
VardasNR83479            PavardeNR83479           1.84  
VardasNR95881            PavardeNR95881           1.84  
VardasNR97056            PavardeNR97056           1.84  
VardasNR583              PavardeNR583             1.88  
VardasNR10081            PavardeNR10081           1.88  
VardasNR10397            PavardeNR10397           1.88  
VardasNR17913            PavardeNR17913           1.88  
VardasNR25729            PavardeNR25729           1.88  
VardasNR35962            PavardeNR35962           1.88  
VardasNR38513            PavardeNR38513           1.88  
VardasNR39671            PavardeNR39671           1.88  
VardasNR52742            PavardeNR52742           1.88  
VardasNR54122            PavardeNR54122           1.88  
VardasNR57646            PavardeNR57646           1.88  
VardasNR62639            PavardeNR62639           1.88  
VardasNR74037            PavardeNR74037           1.88  
VardasNR78534            PavardeNR78534           1.88  
