Vardas         Pavarde           Galutinis (med.)
----------------------------------------------------
Vardas78890    Pavarde78890      1.60    
Vardas88409    Pavarde88409      1.80    
Vardas54552    Pavarde54552      1.80    
Vardas45601    Pavarde45601      1.60    
Vardas73058    Pavarde73058      1.40    
Vardas85512    Pavarde85512      1.80    
Vardas38476    Pavarde38476      1.60    
Vardas78724    Pavarde78724      1.80    
Vardas55380    Pavarde55380      1.60    
Vardas6741     Pavarde6741       1.60    
Vardas71826    Pavarde71826      1.60    
Vardas23339    Pavarde23339      1.80    
Vardas84027    Pavarde84027      2.00    
Vardas36964    Pavarde36964      1.60    
Vardas58317    Pavarde58317      2.00    
Vardas86209    Pavarde86209      1.80    
Vardas60466    Pavarde60466      1.80    
Vardas87734    Pavarde87734      1.80    
Vardas25322    Pavarde25322      1.80    
Vardas78060    Pavarde78060      1.60    
Vardas69916    Pavarde69916      1.80    
Vardas44799    Pavarde44799      1.80    
Vardas85622    Pavarde85622      2.00    
Vardas8106     Pavarde8106       2.00    
Vardas78428    Pavarde78428      2.20    
Vardas34725    Pavarde34725      2.20    
Vardas51001    Pavarde51001      2.00    
Vardas73289    Pavarde73289      1.80    
Vardas20867    Pavarde20867      1.80    
Vardas41075    Pavarde41075      2.40    
Vardas56562    Pavarde56562      1.80    
Vardas6067     Pavarde6067       1.80    
Vardas54788    Pavarde54788      1.80    
Vardas11006    Pavarde11006      1.80    
Vardas45348    Pavarde45348      1.60    
Vardas35341    Pavarde35341      2.40    
Vardas42111    Pavarde42111      2.20    
Vardas50085    Pavarde50085      1.80    
Vardas56963    Pavarde56963      1.80    
Vardas27382    Pavarde27382      1.80    
Vardas49667    Pavarde49667      2.20    
Vardas68427    Pavarde68427      1.40    
Vardas9332     Pavarde9332       1.80    
Vardas61356    Pavarde61356      2.20    
Vardas12866    Pavarde12866      1.60    
Vardas70       Pavarde70         2.00    
Vardas2636     Pavarde2636       1.80    
Vardas70185    Pavarde70185      2.20    
Vardas67569    Pavarde67569      1.80    
Vardas40410    Pavarde40410      1.40    
Vardas29825    Pavarde29825      1.80    
Vardas36978    Pavarde36978      1.80    
Vardas31185    Pavarde31185      1.60    
Vardas18290    Pavarde18290      1.80    
Vardas83272    Pavarde83272      1.80    
Vardas91517    Pavarde91517      2.20    
Vardas87122    Pavarde87122      1.80    
Vardas63930    Pavarde63930      1.60    
Vardas89762    Pavarde89762      2.00    
Vardas44678    Pavarde44678      1.80    
Vardas962      Pavarde962        2.20    
Vardas16477    Pavarde16477      2.20    
Vardas6141     Pavarde6141       1.80    
Vardas18898    Pavarde18898      2.00    
Vardas43362    Pavarde43362      1.80    
Vardas25264    Pavarde25264      1.80    
Vardas71290    Pavarde71290      1.80    
Vardas30730    Pavarde30730      2.00    
Vardas1158     Pavarde1158       2.00    
Vardas98203    Pavarde98203      2.00    
Vardas50120    Pavarde50120      1.60    
Vardas33760    Pavarde33760      2.00    
Vardas21334    Pavarde21334      2.00    
Vardas54244    Pavarde54244      2.00    
Vardas28594    Pavarde28594      1.80    
Vardas96911    Pavarde96911      2.00    
Vardas28428    Pavarde28428      1.60    
Vardas59766    Pavarde59766      1.80    
Vardas38348    Pavarde38348      2.20    
