Vardas                   Pavarde                  Galutinis
VardasNR28               PavardeNR28              5.00  
VardasNR29               PavardeNR29              5.00  
VardasNR172              PavardeNR172             5.00  
VardasNR366              PavardeNR366             5.00  
VardasNR629              PavardeNR629             5.00  
VardasNR806              PavardeNR806             5.00  
VardasNR865              PavardeNR865             5.00  
VardasNR891              PavardeNR891             5.00  
VardasNR914              PavardeNR914             5.00  
VardasNR1156             PavardeNR1156            5.00  
VardasNR1391             PavardeNR1391            5.00  
VardasNR1515             PavardeNR1515            5.00  
VardasNR1777             PavardeNR1777            5.00  
VardasNR1873             PavardeNR1873            5.00  
VardasNR2537             PavardeNR2537            5.00  
VardasNR2710             PavardeNR2710            5.00  
VardasNR3296             PavardeNR3296            5.00  
VardasNR3665             PavardeNR3665            5.00  
VardasNR3682             PavardeNR3682            5.00  
VardasNR3747             PavardeNR3747            5.00  
VardasNR3839             PavardeNR3839            5.00  
VardasNR3944             PavardeNR3944            5.00  
VardasNR4047             PavardeNR4047            5.00  
VardasNR4175             PavardeNR4175            5.00  
VardasNR4302             PavardeNR4302            5.00  
VardasNR4463             PavardeNR4463            5.00  
VardasNR4550             PavardeNR4550            5.00  
VardasNR5041             PavardeNR5041            5.00  
VardasNR5097             PavardeNR5097            5.00  
VardasNR5202             PavardeNR5202            5.00  
VardasNR5352             PavardeNR5352            5.00  
VardasNR5483             PavardeNR5483            5.00  
VardasNR5594             PavardeNR5594            5.00  
VardasNR5735             PavardeNR5735            5.00  
VardasNR5856             PavardeNR5856            5.00  
VardasNR6021             PavardeNR6021            5.00  
VardasNR6264             PavardeNR6264            5.00  
VardasNR6311             PavardeNR6311            5.00  
VardasNR6473             PavardeNR6473            5.00  
VardasNR6720             PavardeNR6720            5.00  
VardasNR6781             PavardeNR6781            5.00  
VardasNR6945             PavardeNR6945            5.00  
VardasNR7198             PavardeNR7198            5.00  
VardasNR7530             PavardeNR7530            5.00  
VardasNR7801             PavardeNR7801            5.00  
VardasNR8037             PavardeNR8037            5.00  
VardasNR8228             PavardeNR8228            5.00  
VardasNR8504             PavardeNR8504            5.00  
VardasNR8608             PavardeNR8608            5.00  
VardasNR8759             PavardeNR8759            5.00  
VardasNR9015             PavardeNR9015            5.00  
VardasNR9100             PavardeNR9100            5.00  
VardasNR9241             PavardeNR9241            5.00  
VardasNR9287             PavardeNR9287            5.00  
VardasNR9371             PavardeNR9371            5.00  
VardasNR9431             PavardeNR9431            5.00  
VardasNR9540             PavardeNR9540            5.00  
VardasNR9585             PavardeNR9585            5.00  
VardasNR9702             PavardeNR9702            5.00  
VardasNR9829             PavardeNR9829            5.00  
VardasNR10251            PavardeNR10251           5.00  
VardasNR10383            PavardeNR10383           5.00  
VardasNR10538            PavardeNR10538           5.00  
