Vardas                   Pavarde                  Galutinis
VardasNR653              PavardeNR653             3.80  
VardasNR650              PavardeNR650             3.56  
VardasNR655              PavardeNR655             4.00  
VardasNR645              PavardeNR645             2.48  
VardasNR642              PavardeNR642             4.80  
VardasNR640              PavardeNR640             3.44  
VardasNR64               PavardeNR64              3.88  
VardasNR639              PavardeNR639             4.04  
VardasNR637              PavardeNR637             3.00  
VardasNR635              PavardeNR635             3.24  
VardasNR662              PavardeNR662             4.24  
VardasNR663              PavardeNR663             3.92  
VardasNR664              PavardeNR664             3.52  
VardasNR634              PavardeNR634             3.60  
VardasNR666              PavardeNR666             2.56  
VardasNR630              PavardeNR630             4.20  
VardasNR63               PavardeNR63              2.48  
VardasNR669              PavardeNR669             3.84  
VardasNR629              PavardeNR629             2.52  
VardasNR627              PavardeNR627             3.20  
VardasNR671              PavardeNR671             4.44  
VardasNR626              PavardeNR626             2.32  
VardasNR673              PavardeNR673             3.00  
VardasNR624              PavardeNR624             4.28  
VardasNR621              PavardeNR621             3.28  
VardasNR620              PavardeNR620             3.20  
VardasNR617              PavardeNR617             2.56  
VardasNR678              PavardeNR678             3.72  
VardasNR612              PavardeNR612             2.68  
VardasNR68               PavardeNR68              2.92  
VardasNR610              PavardeNR610             4.36  
VardasNR681              PavardeNR681             2.48  
VardasNR682              PavardeNR682             4.32  
VardasNR606              PavardeNR606             4.12  
VardasNR605              PavardeNR605             3.64  
VardasNR604              PavardeNR604             3.32  
VardasNR600              PavardeNR600             4.96  
VardasNR59               PavardeNR59              3.48  
VardasNR688              PavardeNR688             3.60  
VardasNR588              PavardeNR588             4.28  
VardasNR584              PavardeNR584             3.48  
VardasNR583              PavardeNR583             4.72  
VardasNR578              PavardeNR578             3.28  
VardasNR572              PavardeNR572             3.00  
VardasNR693              PavardeNR693             2.88  
VardasNR571              PavardeNR571             3.00  
VardasNR57               PavardeNR57              4.28  
VardasNR569              PavardeNR569             3.84  
VardasNR697              PavardeNR697             2.96  
VardasNR567              PavardeNR567             3.72  
VardasNR566              PavardeNR566             1.96  
VardasNR560              PavardeNR560             2.52  
VardasNR56               PavardeNR56              4.88  
VardasNR700              PavardeNR700             4.04  
VardasNR557              PavardeNR557             4.32  
VardasNR702              PavardeNR702             3.68  
VardasNR555              PavardeNR555             3.00  
VardasNR704              PavardeNR704             4.84  
VardasNR554              PavardeNR554             4.24  
VardasNR706              PavardeNR706             3.08  
VardasNR707              PavardeNR707             4.20  
VardasNR708              PavardeNR708             2.80  
VardasNR55               PavardeNR55              4.40  
VardasNR71               PavardeNR71              4.08  
VardasNR549              PavardeNR549             3.04  
VardasNR548              PavardeNR548             3.00  
VardasNR712              PavardeNR712             4.68  
VardasNR713              PavardeNR713             3.44  
VardasNR714              PavardeNR714             4.56  
VardasNR715              PavardeNR715             2.68  
VardasNR716              PavardeNR716             4.44  
VardasNR545              PavardeNR545             3.36  
VardasNR542              PavardeNR542             4.56  
VardasNR540              PavardeNR540             4.04  
VardasNR537              PavardeNR537             3.12  
VardasNR720              PavardeNR720             3.00  
VardasNR534              PavardeNR534             3.28  
VardasNR533              PavardeNR533             4.96  
VardasNR532              PavardeNR532             3.76  
VardasNR531              PavardeNR531             1.88  
VardasNR725              PavardeNR725             3.96  
VardasNR53               PavardeNR53              4.08  
VardasNR727              PavardeNR727             2.80  
VardasNR527              PavardeNR527             3.76  
VardasNR524              PavardeNR524             4.80  
VardasNR73               PavardeNR73              3.72  
VardasNR523              PavardeNR523             3.08  
VardasNR731              PavardeNR731             4.92  
VardasNR520              PavardeNR520             3.44  
VardasNR733              PavardeNR733             2.64  
VardasNR734              PavardeNR734             4.20  
VardasNR735              PavardeNR735             3.76  
VardasNR52               PavardeNR52              3.20  
VardasNR518              PavardeNR518             2.28  
VardasNR516              PavardeNR516             4.92  
VardasNR739              PavardeNR739             3.64  
VardasNR515              PavardeNR515             2.92  
VardasNR509              PavardeNR509             4.96  
VardasNR741              PavardeNR741             4.72  
VardasNR508              PavardeNR508             3.20  
VardasNR743              PavardeNR743             4.84  
VardasNR506              PavardeNR506             3.96  
VardasNR504              PavardeNR504             3.36  
VardasNR746              PavardeNR746             4.80  
VardasNR502              PavardeNR502             4.20  
VardasNR501              PavardeNR501             3.56  
VardasNR500              PavardeNR500             4.52  
VardasNR5                PavardeNR5               3.04  
VardasNR498              PavardeNR498             4.84  
VardasNR751              PavardeNR751             3.24  
VardasNR752              PavardeNR752             4.36  
VardasNR753              PavardeNR753             4.92  
VardasNR496              PavardeNR496             4.68  
VardasNR492              PavardeNR492             2.24  
VardasNR756              PavardeNR756             4.32  
VardasNR489              PavardeNR489             4.20  
VardasNR488              PavardeNR488             3.32  
VardasNR759              PavardeNR759             4.16  
VardasNR76               PavardeNR76              3.52  
VardasNR760              PavardeNR760             4.16  
VardasNR487              PavardeNR487             4.32  
VardasNR485              PavardeNR485             4.64  
VardasNR484              PavardeNR484             4.68  
VardasNR764              PavardeNR764             3.12  
VardasNR765              PavardeNR765             4.20  
VardasNR48               PavardeNR48              3.48  
VardasNR767              PavardeNR767             4.80  
VardasNR478              PavardeNR478             3.84  
VardasNR470              PavardeNR470             4.56  
VardasNR467              PavardeNR467             4.28  
VardasNR466              PavardeNR466             3.08  
VardasNR462              PavardeNR462             4.92  
VardasNR772              PavardeNR772             3.16  
VardasNR461              PavardeNR461             2.96  
VardasNR455              PavardeNR455             4.04  
VardasNR775              PavardeNR775             2.84  
VardasNR45               PavardeNR45              3.60  
VardasNR447              PavardeNR447             4.88  
VardasNR444              PavardeNR444             4.48  
VardasNR442              PavardeNR442             4.88  
VardasNR78               PavardeNR78              4.84  
VardasNR441              PavardeNR441             4.52  
VardasNR440              PavardeNR440             3.56  
VardasNR782              PavardeNR782             2.88  
VardasNR783              PavardeNR783             4.16  
VardasNR436              PavardeNR436             4.16  
VardasNR434              PavardeNR434             3.48  
VardasNR431              PavardeNR431             2.72  
VardasNR787              PavardeNR787             2.28  
VardasNR788              PavardeNR788             4.44  
VardasNR426              PavardeNR426             3.96  
VardasNR424              PavardeNR424             3.72  
VardasNR416              PavardeNR416             3.80  
VardasNR413              PavardeNR413             2.64  
VardasNR411              PavardeNR411             3.80  
