Vardas                   Pavarde                  Galutinis
VardasNR26               PavardeNR26              5.00  
VardasNR133              PavardeNR133             5.00  
VardasNR171              PavardeNR171             5.00  
VardasNR248              PavardeNR248             5.00  
VardasNR543              PavardeNR543             5.00  
VardasNR941              PavardeNR941             5.00  
VardasNR267              PavardeNR267             5.04  
VardasNR321              PavardeNR321             5.04  
VardasNR482              PavardeNR482             5.04  
VardasNR494              PavardeNR494             5.04  
VardasNR517              PavardeNR517             5.04  
VardasNR522              PavardeNR522             5.04  
VardasNR677              PavardeNR677             5.04  
VardasNR709              PavardeNR709             5.04  
VardasNR745              PavardeNR745             5.04  
VardasNR836              PavardeNR836             5.04  
VardasNR46               PavardeNR46              5.08  
VardasNR65               PavardeNR65              5.08  
VardasNR75               PavardeNR75              5.08  
VardasNR179              PavardeNR179             5.08  
VardasNR393              PavardeNR393             5.08  
VardasNR824              PavardeNR824             5.08  
VardasNR841              PavardeNR841             5.08  
VardasNR309              PavardeNR309             5.12  
VardasNR365              PavardeNR365             5.12  
VardasNR418              PavardeNR418             5.12  
VardasNR123              PavardeNR123             5.12  
VardasNR203              PavardeNR203             5.12  
VardasNR256              PavardeNR256             5.12  
VardasNR379              PavardeNR379             5.12  
VardasNR611              PavardeNR611             5.12  
VardasNR35               PavardeNR35              5.16  
VardasNR77               PavardeNR77              5.16  
VardasNR84               PavardeNR84              5.16  
VardasNR134              PavardeNR134             5.16  
VardasNR350              PavardeNR350             5.16  
VardasNR412              PavardeNR412             5.16  
VardasNR459              PavardeNR459             5.16  
VardasNR798              PavardeNR798             5.16  
VardasNR958              PavardeNR958             5.16  
VardasNR750              PavardeNR750             5.20  
VardasNR240              PavardeNR240             5.20  
VardasNR348              PavardeNR348             5.20  
VardasNR528              PavardeNR528             5.20  
VardasNR755              PavardeNR755             5.20  
VardasNR927              PavardeNR927             5.20  
VardasNR330              PavardeNR330             5.24  
VardasNR54               PavardeNR54              5.24  
VardasNR186              PavardeNR186             5.24  
VardasNR202              PavardeNR202             5.24  
VardasNR261              PavardeNR261             5.24  
VardasNR388              PavardeNR388             5.24  
VardasNR777              PavardeNR777             5.24  
VardasNR373              PavardeNR373             5.28  
VardasNR529              PavardeNR529             5.28  
VardasNR601              PavardeNR601             5.28  
VardasNR323              PavardeNR323             5.28  
VardasNR371              PavardeNR371             5.28  
VardasNR417              PavardeNR417             5.28  
VardasNR568              PavardeNR568             5.28  
VardasNR593              PavardeNR593             5.28  
VardasNR780              PavardeNR780             5.32  
VardasNR118              PavardeNR118             5.32  
VardasNR193              PavardeNR193             5.32  
VardasNR228              PavardeNR228             5.32  
VardasNR341              PavardeNR341             5.32  
VardasNR959              PavardeNR959             5.32  
VardasNR987              PavardeNR987             5.32  
VardasNR382              PavardeNR382             5.36  
VardasNR711              PavardeNR711             5.36  
VardasNR150              PavardeNR150             5.36  
VardasNR550              PavardeNR550             5.36  
VardasNR587              PavardeNR587             5.36  
VardasNR732              PavardeNR732             5.36  
VardasNR778              PavardeNR778             5.36  
VardasNR19               PavardeNR19              5.40  
VardasNR281              PavardeNR281             5.40  
VardasNR296              PavardeNR296             5.40  
VardasNR512              PavardeNR512             5.40  
VardasNR858              PavardeNR858             5.40  
VardasNR908              PavardeNR908             5.40  
VardasNR971              PavardeNR971             5.40  
VardasNR977              PavardeNR977             5.40  
VardasNR17               PavardeNR17              5.44  
VardasNR42               PavardeNR42              5.44  
VardasNR132              PavardeNR132             5.44  
VardasNR151              PavardeNR151             5.44  
VardasNR251              PavardeNR251             5.44  
VardasNR525              PavardeNR525             5.44  
VardasNR579              PavardeNR579             5.44  
VardasNR839              PavardeNR839             5.44  
VardasNR905              PavardeNR905             5.44  
VardasNR929              PavardeNR929             5.44  
VardasNR963              PavardeNR963             5.44  
VardasNR748              PavardeNR748             5.48  
VardasNR790              PavardeNR790             5.48  
VardasNR493              PavardeNR493             5.48  
VardasNR675              PavardeNR675             5.48  
VardasNR840              PavardeNR840             5.48  
VardasNR926              PavardeNR926             5.48  
VardasNR224              PavardeNR224             5.52  
VardasNR272              PavardeNR272             5.52  
VardasNR438              PavardeNR438             5.52  
VardasNR514              PavardeNR514             5.52  
VardasNR738              PavardeNR738             5.52  
VardasNR770              PavardeNR770             5.52  
VardasNR40               PavardeNR40              5.56  
VardasNR69               PavardeNR69              5.56  
VardasNR163              PavardeNR163             5.56  
VardasNR351              PavardeNR351             5.56  
VardasNR613              PavardeNR613             5.56  
VardasNR970              PavardeNR970             5.56  
VardasNR972              PavardeNR972             5.56  
VardasNR302              PavardeNR302             5.56  
VardasNR575              PavardeNR575             5.56  
VardasNR178              PavardeNR178             5.60  
VardasNR336              PavardeNR336             5.60  
VardasNR343              PavardeNR343             5.60  
VardasNR696              PavardeNR696             5.60  
VardasNR943              PavardeNR943             5.60  
VardasNR294              PavardeNR294             5.60  
VardasNR785              PavardeNR785             5.60  
VardasNR367              PavardeNR367             5.64  
VardasNR893              PavardeNR893             5.64  
VardasNR758              PavardeNR758             5.64  
VardasNR384              PavardeNR384             5.68  
VardasNR428              PavardeNR428             5.68  
VardasNR680              PavardeNR680             5.68  
VardasNR914              PavardeNR914             5.68  
VardasNR591              PavardeNR591             5.72  
VardasNR804              PavardeNR804             5.72  
VardasNR892              PavardeNR892             5.72  
VardasNR975              PavardeNR975             5.72  
VardasNR585              PavardeNR585             5.72  
VardasNR672              PavardeNR672             5.72  
VardasNR58               PavardeNR58              5.76  
VardasNR128              PavardeNR128             5.76  
VardasNR618              PavardeNR618             5.76  
VardasNR643              PavardeNR643             5.76  
VardasNR859              PavardeNR859             5.76  
VardasNR12               PavardeNR12              5.80  
VardasNR97               PavardeNR97              5.80  
VardasNR558              PavardeNR558             5.80  
VardasNR684              PavardeNR684             5.80  
VardasNR848              PavardeNR848             5.80  
VardasNR915              PavardeNR915             5.80  
VardasNR521              PavardeNR521             5.80  
VardasNR39               PavardeNR39              5.84  
VardasNR122              PavardeNR122             5.84  
VardasNR136              PavardeNR136             5.84  
VardasNR196              PavardeNR196             5.84  
VardasNR227              PavardeNR227             5.84  
VardasNR280              PavardeNR280             5.84  
VardasNR340              PavardeNR340             5.84  
VardasNR771              PavardeNR771             5.84  
VardasNR22               PavardeNR22              5.88  
VardasNR129              PavardeNR129             5.88  
VardasNR250              PavardeNR250             5.88  
VardasNR346              PavardeNR346             5.88  
VardasNR551              PavardeNR551             5.88  
VardasNR646              PavardeNR646             5.88  
VardasNR47               PavardeNR47              5.92  
VardasNR60               PavardeNR60              5.92  
VardasNR89               PavardeNR89              5.92  
VardasNR307              PavardeNR307             5.92  
VardasNR375              PavardeNR375             5.92  
VardasNR647              PavardeNR647             5.92  
VardasNR805              PavardeNR805             5.92  
VardasNR285              PavardeNR285             5.96  
VardasNR460              PavardeNR460             5.96  
VardasNR619              PavardeNR619             5.96  
VardasNR878              PavardeNR878             5.96  
VardasNR61               PavardeNR61              5.96  
VardasNR117              PavardeNR117             5.96  
VardasNR187              PavardeNR187             5.96  
VardasNR616              PavardeNR616             5.96  
VardasNR774              PavardeNR774             5.96  
VardasNR127              PavardeNR127             6.00  
VardasNR271              PavardeNR271             6.00  
VardasNR608              PavardeNR608             6.00  
VardasNR632              PavardeNR632             6.00  
VardasNR654              PavardeNR654             6.00  
VardasNR247              PavardeNR247             6.04  
VardasNR322              PavardeNR322             6.04  
VardasNR687              PavardeNR687             6.04  
VardasNR786              PavardeNR786             6.04  
VardasNR539              PavardeNR539             6.04  
VardasNR229              PavardeNR229             6.08  
VardasNR380              PavardeNR380             6.08  
VardasNR392              PavardeNR392             6.08  
VardasNR451              PavardeNR451             6.08  
VardasNR511              PavardeNR511             6.08  
VardasNR589              PavardeNR589             6.08  
VardasNR652              PavardeNR652             6.08  
VardasNR690              PavardeNR690             6.08  
VardasNR831              PavardeNR831             6.08  
VardasNR935              PavardeNR935             6.08  
VardasNR286              PavardeNR286             6.12  
VardasNR360              PavardeNR360             6.12  
VardasNR806              PavardeNR806             6.12  
VardasNR949              PavardeNR949             6.12  
VardasNR38               PavardeNR38              6.16  
VardasNR146              PavardeNR146             6.16  
VardasNR378              PavardeNR378             6.16  
VardasNR676              PavardeNR676             6.16  
VardasNR691              PavardeNR691             6.16  
VardasNR899              PavardeNR899             6.16  
VardasNR953              PavardeNR953             6.16  
VardasNR998              PavardeNR998             6.16  
VardasNR763              PavardeNR763             6.20  
VardasNR189              PavardeNR189             6.20  
VardasNR465              PavardeNR465             6.20  
VardasNR596              PavardeNR596             6.20  
VardasNR695              PavardeNR695             6.20  
VardasNR833              PavardeNR833             6.20  
VardasNR875              PavardeNR875             6.20  
VardasNR955              PavardeNR955             6.20  
VardasNR49               PavardeNR49              6.24  
VardasNR67               PavardeNR67              6.24  
VardasNR331              PavardeNR331             6.24  
VardasNR347              PavardeNR347             6.24  
VardasNR590              PavardeNR590             6.24  
VardasNR614              PavardeNR614             6.24  
VardasNR651              PavardeNR651             6.24  
VardasNR950              PavardeNR950             6.24  
VardasNR454              PavardeNR454             6.28  
VardasNR158              PavardeNR158             6.28  
VardasNR270              PavardeNR270             6.28  
VardasNR891              PavardeNR891             6.28  
VardasNR923              PavardeNR923             6.28  
VardasNR191              PavardeNR191             6.32  
VardasNR264              PavardeNR264             6.32  
VardasNR433              PavardeNR433             6.32  
VardasNR439              PavardeNR439             6.32  
VardasNR471              PavardeNR471             6.32  
VardasNR641              PavardeNR641             6.32  
VardasNR667              PavardeNR667             6.32  
VardasNR724              PavardeNR724             6.32  
VardasNR80               PavardeNR80              6.36  
VardasNR564              PavardeNR564             6.36  
VardasNR686              PavardeNR686             6.36  
VardasNR737              PavardeNR737             6.36  
VardasNR176              PavardeNR176             6.36  
VardasNR199              PavardeNR199             6.36  
VardasNR218              PavardeNR218             6.36  
VardasNR263              PavardeNR263             6.36  
VardasNR419              PavardeNR419             6.36  
VardasNR425              PavardeNR425             6.36  
VardasNR565              PavardeNR565             6.40  
VardasNR823              PavardeNR823             6.40  
VardasNR873              PavardeNR873             6.40  
VardasNR921              PavardeNR921             6.40  
VardasNR185              PavardeNR185             6.44  
VardasNR188              PavardeNR188             6.44  
VardasNR609              PavardeNR609             6.44  
VardasNR769              PavardeNR769             6.44  
VardasNR773              PavardeNR773             6.44  
VardasNR821              PavardeNR821             6.44  
VardasNR62               PavardeNR62              6.48  
VardasNR135              PavardeNR135             6.48  
VardasNR446              PavardeNR446             6.48  
VardasNR505              PavardeNR505             6.48  
VardasNR66               PavardeNR66              6.52  
VardasNR106              PavardeNR106             6.52  
VardasNR475              PavardeNR475             6.52  
VardasNR659              PavardeNR659             6.52  
VardasNR817              PavardeNR817             6.52  
VardasNR166              PavardeNR166             6.56  
VardasNR401              PavardeNR401             6.56  
VardasNR443              PavardeNR443             6.56  
VardasNR513              PavardeNR513             6.56  
VardasNR703              PavardeNR703             6.56  
VardasNR820              PavardeNR820             6.56  
VardasNR32               PavardeNR32              6.60  
VardasNR437              PavardeNR437             6.60  
VardasNR656              PavardeNR656             6.60  
VardasNR776              PavardeNR776             6.60  
VardasNR50               PavardeNR50              6.64  
VardasNR552              PavardeNR552             6.64  
VardasNR570              PavardeNR570             6.64  
VardasNR913              PavardeNR913             6.64  
VardasNR497              PavardeNR497             6.68  
VardasNR710              PavardeNR710             6.68  
VardasNR155              PavardeNR155             6.72  
VardasNR563              PavardeNR563             6.72  
VardasNR694              PavardeNR694             6.72  
VardasNR796              PavardeNR796             6.72  
VardasNR803              PavardeNR803             6.72  
VardasNR865              PavardeNR865             6.72  
VardasNR9                PavardeNR9               6.72  
VardasNR580              PavardeNR580             6.72  
VardasNR586              PavardeNR586             6.72  
VardasNR730              PavardeNR730             6.72  
VardasNR109              PavardeNR109             6.76  
VardasNR205              PavardeNR205             6.76  
VardasNR215              PavardeNR215             6.76  
VardasNR290              PavardeNR290             6.76  
VardasNR661              PavardeNR661             6.76  
VardasNR449              PavardeNR449             6.76  
VardasNR499              PavardeNR499             6.76  
VardasNR510              PavardeNR510             6.76  
VardasNR574              PavardeNR574             6.76  
VardasNR595              PavardeNR595             6.76  
VardasNR402              PavardeNR402             6.80  
VardasNR507              PavardeNR507             6.80  
VardasNR599              PavardeNR599             6.80  
VardasNR304              PavardeNR304             6.80  
VardasNR395              PavardeNR395             6.80  
VardasNR491              PavardeNR491             6.80  
VardasNR452              PavardeNR452             6.84  
VardasNR553              PavardeNR553             6.84  
VardasNR636              PavardeNR636             6.84  
VardasNR644              PavardeNR644             6.84  
VardasNR797              PavardeNR797             6.84  
VardasNR828              PavardeNR828             6.84  
VardasNR864              PavardeNR864             6.84  
VardasNR361              PavardeNR361             6.88  
VardasNR420              PavardeNR420             6.88  
VardasNR598              PavardeNR598             6.88  
VardasNR631              PavardeNR631             6.88  
VardasNR254              PavardeNR254             6.88  
VardasNR344              PavardeNR344             6.88  
VardasNR562              PavardeNR562             6.88  
VardasNR837              PavardeNR837             6.88  
VardasNR18               PavardeNR18              6.92  
VardasNR170              PavardeNR170             6.92  
VardasNR486              PavardeNR486             6.92  
VardasNR649              PavardeNR649             6.92  
VardasNR692              PavardeNR692             6.92  
VardasNR698              PavardeNR698             6.92  
VardasNR973              PavardeNR973             6.92  
VardasNR990              PavardeNR990             6.92  
VardasNR795              PavardeNR795             6.96  
VardasNR70               PavardeNR70              6.96  
VardasNR138              PavardeNR138             6.96  
VardasNR519              PavardeNR519             6.96  
VardasNR594              PavardeNR594             6.96  
VardasNR934              PavardeNR934             6.96  
VardasNR435              PavardeNR435             6.96  
VardasNR495              PavardeNR495             6.96  
VardasNR83               PavardeNR83              7.00  
VardasNR104              PavardeNR104             7.00  
VardasNR201              PavardeNR201             7.00  
VardasNR221              PavardeNR221             7.00  
VardasNR289              PavardeNR289             7.00  
VardasNR291              PavardeNR291             7.00  
VardasNR358              PavardeNR358             7.00  
VardasNR726              PavardeNR726             7.00  
VardasNR728              PavardeNR728             7.00  
VardasNR736              PavardeNR736             7.00  
VardasNR768              PavardeNR768             7.00  
VardasNR157              PavardeNR157             7.04  
VardasNR381              PavardeNR381             7.04  
VardasNR483              PavardeNR483             7.04  
VardasNR880              PavardeNR880             7.04  
VardasNR91               PavardeNR91              7.04  
VardasNR337              PavardeNR337             7.04  
VardasNR469              PavardeNR469             7.04  
VardasNR15               PavardeNR15              7.08  
VardasNR82               PavardeNR82              7.08  
VardasNR204              PavardeNR204             7.08  
